Brand,Device,Buttplug-C#,Buttplug-JS,Win7,Win8,Win10 14939,Win10 15063,macOS,Linux,Android,ChromeOS,iOS,Notes
Fleshlight,Launch,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Kiiroo,Onyx,1,0,,,,buttplug-c#,,,,,,
Kiiroo,Pearl,0,0,,,,,,,,,,
Kiiroo,Pearl2,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Kiiroo,Onyx2,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Kiiroo,Onyx2.1,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Kiiroo,Cliona,0,0,,,,,,,,,,
Kiiroo,Titan,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Kiiroo,Titan1.1,0,0,,,,,,,,,,
Lovense,Ambi,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Lovense,Edge,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Lovense,Hush,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Lovense,Lush,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Lovense,Max,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Lovense,Max2,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Lovense,Nora,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Lovense,Domi,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Lovense,Osci,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Misc,XBox Compatible Gamepad,0,1,buttplug-c#,buttplug-c#,buttplug-c#,buttplug-c#,,,,,,
Vorze,A10 Cyclone SA,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Vorze,U.F.O. SA,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Vorze,Bach Smart,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Vorze,A10 Piston SA,0,0,,,,,,,,,,
Vibease,Esthesia,0,0,,,,,,,,,,
Vibease,Vibese,0,0,,,,,,,,,,
Vibease,Lipstick,0,0,,,,,,,,,,
WeVibe,4 Plus,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Bloom,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Classic,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Ditto,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Nova,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Pivot,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Rave,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Sync,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Verge,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Wish,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Jive,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Gala,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
WeVibe,Moxie,0,0,,,,,,,,,,
WeVibe,Vector,0,0,,,,,,,,,,
WeVibe,Melt,0,0,,,,,,,,,,
OhMiBod,blueMotion NEX|1,0,0,,,,,,,,,,
OhMiBod,blueMotion NEX|2,0,0,,,,,,,,,,
OhMiBod,Fuse,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
OhMiBod,Lightshow,0,0,,,,,,,,,,
OhMiBod,Esci,0,0,,,,,,,,,,
OhMiBod,Esci2,0,0,,,,,,,,,,
SayberX,SayberX,0,0,,,,,,,,,,
SayberX,XRing,0,0,,,,,,,,,,
Cyberskin,Twerking Butt Classic,0,0,,,,,,,,,,
Cyberskin,Twerking Butt Deluxe,0,0,,,,,,,,,,
vitafun,Aris,0,0,,,,,,,,,,
vitafun,Ishtar,0,0,,,,,,,,,,
PicoBong,Remoji Surfer,1,0,,,,buttplug-c#,,,,,,
PicoBong,Remoji Life Guard,1,0,,,,buttplug-c#,,,,,,
PicoBong,Remoji Blow Hole,1,0,,,,buttplug-c#,,,,,,
PicoBong,Remoji Diver,1,0,,,,buttplug-c#,,,,,,
SenseMax,SenseTube,0,0,,,,,,,,,,
SenseMax,Sense Band,0,0,,,,,,,,,,
Miss VV's Mystery,Miss On The Go,0,0,,,,,,,,,,
Minna,kGoal,0,0,,,,,,,,,,
Minna,kGoal Boost,0,0,,,,,,,,,,
Magic Motion,Flamingo,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Magic Motion,Magic Kegal - Twins,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Magic Motion,Magic Kegel - Master,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Magic Motion,Magic Kegel - Master V2,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Magic Motion,Smart Mini Vibe,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Magic Motion,Magic Heat Wand,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Magic Motion,Dante,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Magic Motion,Candy,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
