Brand,Device,Detail,Availability,In Possesion,Type,Connection,Outputs,Inputs,Vibrators,Linear Actuators,Rotators,Grips Expanders,Heaters,Lights,Estim,Suction,Oscillators,Speaker,Pump,Accelerometers,Thermometers,Buttons,Position,Pressure,Camera,Notes,Buttplug-C#,Buttplug-JS,Buttplug-Rust,Win7,Win8,Win10 14939,Win10 15063,macOS,Linux,Android,ChromeOS,iOS,Buttplug Support Notes
Fleshlight,Launch,https://www.kiiroo.com/collections/for-him/products/the-fleshlight-launch-powered-by-kiiroo,Discontinued,1,Onahole,BT4LE,Linear actuator,Capacitive zones,0,1,0,0,0,0,0,0,0,0,0,0,0,5?,0,0,0,,Supported,Supported,0,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Kiiroo,Onyx,https://www.kiiroo.com/onyx/,Discontinued,1,Onahole,"BT2 (Serial), BT4LE",Constriction rings,Capacitive slider,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,,Supported,0,0,,,,buttplug-c#,,,,,,
Kiiroo,Pearl,https://www.kiiroo.com/pearl/,Discontinued,1,Insertable Vibrator,"BT2 (Serial), BT4LE",Vibrator,Capacitive zones,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,,,,,,,,,
Kiiroo,Pearl2,https://www.kiiroo.com/product/kiiroo-pearl2-black/,Available,1,Insertable Vibrator,BT4LE,Vibrator,Capacitive zones,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,,Supported,Supported,0,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Kiiroo,Onyx2,https://www.kiiroo.com/products/onyx-2,Discontinued,1,Onahole,BT4LE,Constriction rings,Capacitive slider,0,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,Onahole,Supported,Supported,0,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Kiiroo,Onyx+,https://www.kiiroo.com/products/onyx-plus,Available,0,Onahole,BT4LE,Constriction rings,Capacitive slider,0,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,Onahole,Supported,0,,,,,buttplug-c#,,,,,,It may be required to pair the Onyx+ via the Windws Bluetooth settings before the device will respond
Kiiroo,Cliona,https://www.kiiroo.com/products/cliona-by-kiiroo-clit-stim-vibrator,Available,1,Bullet,BT4LE,Vibrator,None,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,Supported,0,0,,,,buttplug-c#,,,,,,
Kiiroo,Titan,https://www.kiiroo.com/products/titan-by-kiiroo-interactive-male-masturbator,Available,1,Onahole,BT4LE,Vibrator (9 in 3 groups),Capacitive zones,9,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,Also branded as Pornhub Blowbot,Supported,Supported,0,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Kiiroo,Titan1.1,https://www.kiiroo.com/products/titan-by-kiiroo-interactive-male-masturbator,Available,0,Onahole,BT4LE,Vibrator (9 in 1 group or controlled as a linear actuator),Capacitive zones,9,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,"The vibrator groups on the Titan1.1 are not individually controllable, instead they are either controlled as one or are mapped to linear movements.",Supported,0,0,,,,buttplug-c#,,,,,,"The original Titan is supported, but the Titan1.1 version uses a different controller and changed the protocol (this has yet to be implemented in Buttplug)
"
Lovense,Ambi,https://www.lovense.com/mini-bullet-vibrator-for-clitoral-simulation,Available,1,Bullet,BT4LE,Vibrator,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Supported,Supported,Supported,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
